Year,Title,Publisher,Links,Location,Description
2027,Telling Lives; Mothers and Life Writing,"Demeter Press (upcoming)
Edited by Lorinda Peterson , published by Andrea O’Reilly",,"Bradford, Ontario",
2025,"Generational Trauma
(cover art and chapter )","Demeter Press edited by Lamees Al Ethari, published by Andrea O’Reilly",,"Bradford, Ontario",
2025,Tip Tap Tip Podcast,CBC Eye Opener ,,"Calgary, AB",
2025,ARTMOM; A Haircut for Chris,Self Publication,,"Calgary, AB",
2024,The Setlist 1 ,Inservice Comics,,"Calgary,AB",
2022,Grant MacEwan University,‘Art Mom; Drawing from Life’ and ‘ArtMom; Pandemic Times’ added to Zine Archives,,"Edmonton, AB",
2022,Edmonton Journal,‘Drawing from Life’ photo - Edmonton Journal,,"Edmonton, AB",
2022,ARTMOM;Drawing From Life,Self Publication,,"Calgary, AB",
2022,muthamagazine.com,‘Drawing from Life’ selected sequential drawings,https://www.muthamagazine.com,,
2021,ARTMOM; Pandemic Times,Self publication,,"Calgary, AB",
2021,Dicks & Janes zine,Poem ’Do you know how much I hate you…’,,"Toronto, ON",
2021,NewForum Magazine,Art on cover page and inside Calgary’s Feminist magazine,,"Calgary, AB",
2020,Calgary Herald,“Call for Postcard designs to fund art and artists”,,"Calgary, AB",
